full_name,html_url,stargazers_count,language,open_issues
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,416408,TypeScript,240
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,370835,Markdown,376
sindresorhus/awesome,https://github.com/sindresorhus/awesome,355923,,55
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,354844,HTML,86
public-apis/public-apis,https://github.com/public-apis/public-apis,335566,Python,441
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,314274,,68
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,313655,TypeScript,201
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,296268,Python,486
996icu/996.ICU,https://github.com/996icu/996.ICU,270520,,16701
vinta/awesome-python,https://github.com/vinta/awesome-python,240343,Python,465
facebook/react,https://github.com/facebook/react,234514,JavaScript,986
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,224512,,1
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,224205,,217
vuejs/vue,https://github.com/vuejs/vue,208697,TypeScript,603
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,199389,Python,371
torvalds/linux,https://github.com/torvalds/linux,191566,C,459
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,190922,JavaScript,361
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,189356,C++,8301
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,181741,,124
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,179749,,187
ossu/computer-science,https://github.com/ossu/computer-science,178062,HTML,14
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,177616,Shell,479
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,174405,Python,208
twbs/bootstrap,https://github.com/twbs/bootstrap,172155,JavaScript,534
microsoft/vscode,https://github.com/microsoft/vscode,170008,TypeScript,9856
flutter/flutter,https://github.com/flutter/flutter,169739,Dart,13106
github/gitignore,https://github.com/github/gitignore,165698,,498
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,163977,Jupyter Notebook,708
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,163112,,88
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,155539,,247
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,151137,Python,2389
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,149166,Java,70
airbnb/javascript,https://github.com/airbnb/javascript,146529,JavaScript,171
huggingface/transformers,https://github.com/huggingface/transformers,142900,Python,1740
avelino/awesome-go,https://github.com/avelino/awesome-go,141780,Go,121
ollama/ollama,https://github.com/ollama/ollama,137184,Go,1722
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,135099,Python,4171
vercel/next.js,https://github.com/vercel/next.js,131018,JavaScript,3202
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,130854,Batchfile,3
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,127574,Markdown,41
golang/go,https://github.com/golang/go,127147,Go,9464
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,125237,TypeScript,53
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,123386,JavaScript,0
f/awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,122925,JavaScript,265
facebook/react-native,https://github.com/facebook/react-native,121505,C++,950
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,120532,C,2331
microsoft/PowerToys,https://github.com/microsoft/PowerToys,117341,C#,6413
electron/electron,https://github.com/electron/electron,116364,C++,952
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,114377,Go,2577
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,113335,,31
krahets/hello-algo,https://github.com/krahets/hello-algo,111544,Java,26
nodejs/node,https://github.com/nodejs/node,110608,JavaScript,2145
